Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Precio anual,Camaras_seguridad,Total_contratos,m2,Med_Hab,Med_baños,Med_Pers,Transporte,Areas verdes,Equip social,Equip ocio
2023,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),926.1,2.0,1322,64.35,3.9,1.2,2.3,43,26,108.0,68
2023,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),1286.7,3.0,724,81.94999999999999,3.9,1.2,2.3,38,14,68.0,65
2023,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),990.45,4.0,274,58.85,3.9,1.2,2.3,48,10,115.0,27
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),1086.65,2.0,1024,69.7,3.9,1.2,2.3,41,38,29.0,190
2023,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),1170.6,3.0,802,77.8,4.8,1.6,2.4,39,34,133.0,9
2023,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),1078.5500000000002,2.0,1400,69.80000000000001,4.8,1.6,2.4,45,31,61.0,11
2023,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),1558.65,16.0,1562,101.4,4.8,1.6,2.4,135,44,128.0,85
2023,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),1310.8,7.0,1576,86.19999999999999,4.8,1.6,2.4,89,30,70.0,91
2023,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),1154.75,2.0,1636,74.15,4.8,1.6,2.4,43,44,159.0,15
2023,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),1096.7,3.0,1014,75.4,4.8,1.6,2.4,57,33,67.0,15
2023,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),921.15,5.0,954,61.4,4.5,1.3,2.4,131,53,188.0,36
2023,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),1425.65,4.0,142,56.0,4.5,1.3,2.4,104,3,34.0,1
2023,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),861.45,2.0,364,70.9,4.5,1.3,2.4,56,42,78.0,0
2023,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),1024.05,1.0,302,69.75,4.5,1.3,2.4,9,5,3.0,1
2023,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),951.45,2.0,460,63.4,4.5,1.3,2.4,27,5,49.0,2
2023,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),1364.9,2.0,668,64.95,4.5,1.3,2.4,24,13,13.0,0
2023,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),938.05,0.0,528,63.75,4.5,1.3,2.4,18,1,34.0,0
2023,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),972.4,1.0,1152,67.1,4.5,1.3,2.4,51,20,93.0,10
2023,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),1172.4499999999998,5.0,1140,75.85,5.0,1.9,2.4,72,40,120.0,9
